Austin,Austin,0
Austin,Mumbai,8965
Austin,Sydney,8464
Austin,Tokyo,6543
Austin,Virginia,1377
Austin,Canada,1948
Austin,Sao Paulo,5027
Austin,Hong Kong,8226
Austin,London,4912
Austin,Singapore,9825
Austin,N.Virginia,1265
Mumbai,Mumbai,0
Mumbai,Sydney,6309
Mumbai,Canada,7507
Mumbai,Hong Kong,2674
Mumbai,Sao Paulo,8553
Mumbai,Singapore,2429
Mumbai,Tokyo,4188
Mumbai,N.Virginia,8079
Mumbai,London,4471
Sydney,Sydney,0
Sydney,Canada,9961
Sydney,Hong Kong,4581
Sydney,Sao Paulo,8299
Sydney,Singapore,3913
Sydney,Tokyo,4862
Sydney,N.Virginia,9726
Sydney,London,10559
Canada,Canada,0
Canada,Hong Kong,7727
Canada,Sao Paulo,5062
Canada,Singapore,9199
Canada,Tokyo,6454
Canada,N.Virginia,585
Canada,London,3243
Hong Kong,Hong Kong,0
Hong Kong,Sao Paulo,11212
Hong Kong,Singapore,1607
Hong Kong,Tokyo,1794
Hong Kong,N.Virginia,8235
Hong Kong,London,5981
Sao Paulo,Sao Paulo,0
Sao Paulo,Singapore,9933
Sao Paulo,Tokyo,11515
Sao Paulo,N.Virginia,4671
Sao Paulo,London,5901
Singapore,Singapore,0
Singapore,Tokyo,3307
Singapore,N.Virginia,9752
Singapore,London,6745
Tokyo,Tokyo,0
Tokyo,N.Virginia,6845
Tokyo,London,5941
N.Virginia,N.Virginia,0
N.Virginia,London,3743
London,London,0
